Planta;Operação;Remetente;CNPJ Rem;Cidade Rem;UF Rem;CTRC;DT Emissao CTRC;Nota Fiscal;DT Emissão NF;Qtde Volume;Vlr Mercadoria;Destinatário;CNPJ Dest;Cidade Dest;UF Dest;Tipo Agente;Agente;Dt Inicio Transporte;Agente Resumido;Prev. Entrega;Previsão Atualizada;Previsão Transportador;Condição especial;Cliente Agendado;Tipo Agenda;Cliente Premier;Site/Email/Tel;Acesso/Nome Resp;Data Agenda;Status Agenda;Ocorre Agenda;Data Entrega PR;Data Saida PR;Data Entrega DDA;Data Saida DDA;Data Entrega FINAL;Previsão Agente;Localização;Ocorrência;Detalhamento Ocorre;Resp Ocorre Int;Ocorrência Interna;Data Retorno Planta;Resp Atraso;Motivo Atraso;Ordem Status HUB;Status HUB;Performance Entrega CEVA;Performance Nova Previsão;Status Entrega;Região;Modal;Performance Entrega Agente;Teste1;Teste2;Status XD;Aging;Teste5;Status Congelado;Previsão Congelada;Ocorrência Base Congelada;Status Entrega x Agenda;Lead Time;Chave lead Time;Agente Entrega;Critico;Fil Origem Alfa;Peso Bruto;Peso Liquido;Email;Chave;Meta Operação;Desti Resumido;Status Resumido Agenda;Aging Processo Em Aberto;Status Agenda Resumido 2;Dt Corte;Filial;Data Entrega Final (Tratado);DT Emissão CTRC (Tratado);Performance Entrega CEVA + Transferência
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;104944;29/07/2026;858831;25/07/2026;1;50,82;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;SAO JOSE DO RIO PRETO;SP;Agregado;MVT CAMPINAS - COMERCIO, LOGISTICA E;29/07/2026;MOVIMENTE;08/09/2026;08/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;08/09/2026;Agendado;Nf não localizada;;;;;08/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue Fora do Prazo;Entregue;SUDESTE;RODOVIARIO;Entregue Fora do Prazo;#N/D;4258009200;;> de 7 Dias;;;;;;3;VALINHOSRODOVIARIO LTLSAO JOSE DO RIO PRETO;ALFA;;;;;jessicamonteiro@grupomovimente.com.br;1,04945E+11;0,96;CIA BRASILEIRA;Agendado;> de 20 Dias;Agendado;=> 01/03;;08/09/2026;29/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;104944;29/07/2026;858574;25/07/2026;1;134,88;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;SAO JOSE DO RIO PRETO;SP;Agregado;MVT CAMPINAS - COMERCIO, LOGISTICA E;29/07/2026;MOVIMENTE;08/09/2026;08/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;08/09/2026;Agendado;Nf não localizada;;;;;08/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue Fora do Prazo;Entregue;SUDESTE;RODOVIARIO;Entregue Fora do Prazo;#N/D;4258009200;;> de 7 Dias;;;;;;3;VALINHOSRODOVIARIO LTLSAO JOSE DO RIO PRETO;ALFA;;;;;jessicamonteiro@grupomovimente.com.br;1,04945E+11;0,96;CIA BRASILEIRA;Agendado;> de 20 Dias;Agendado;=> 01/03;;08/09/2026;29/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;104947;29/07/2026;858163;24/07/2026;1;350,62;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PRESIDENTE PRUDENTE;SP;Agregado;MVT CAMPINAS - COMERCIO, LOGISTICA E;29/07/2026;MOVIMENTE;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUDESTE;RODOVIARIO;Entregue Fora do Prazo;#N/D;4258009200;;> de 7 Dias;;;;;;3;VALINHOSRODOVIARIO LTLPRESIDENTE PRUDENTE;ALFA;;;;;jessicamonteiro@grupomovimente.com.br;1,04948E+11;0,96;CIA BRASILEIRA;Agendado;> de 20 Dias;Agendado;=> 01/03;;01/09/2026;29/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;106181;31/07/2026;859133;27/07/2026;2;268,94;MARCODIESEL PECAS E SERVICOS LTDA;2,81E+12;BOA VISTA;RR;Agregado;DENILSON TAVARES;31/07/2026;XD DDA;01/09/2026;18/08/2026;;;Não;;;;;;;;;;;;18/08/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORTE;RODOVIARIO;Entregue no Prazo;#N/D;281255200;;> de 7 Dias;;;;;;22;VALINHOSRODOVIARIO LTLBOA VISTA;NORTEX;;;;;nce11@carvalima.com.br;1,06182E+11;0,96;MARCODIESEL;Pendente;> de 20 Dias;Pendente Agenda;=> 01/03; Ponta Grossa;18/08/2026;31/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;106185;31/07/2026;859299;27/07/2026;0;1193,67;MARCODIESEL PECAS E SERVICOS LTDA;2,81E+12;BOA VISTA;RR;Agregado;CARVALIMA TRANSP. LTDA;31/07/2026;CARVALIMA;01/09/2026;;;;Não;;;;;;;;;;;;;;Unidade Origem;31/07 Aguardando Embarque Origem;;CEVA;NF Não reconhecida pelo Agente;;;;;;Em Trânsito Fora do Prazo;Em Transito no Prazo;Ocorrência;NORTE;RODOVIARIO;Em Trânsito Fora do Prazo;#N/D;281255200;;Expedido;;;;;;22;VALINHOSRODOVIARIO LTLBOA VISTA;NORTEX;;;;;nce11@carvalima.com.br;1,06186E+11;0,96;MARCODIESEL;Pendente;> de 20 Dias;Pendente Agenda;=> 01/03; Ponta Grossa;00/01/1900;31/07/2026;Em Trânsito Fora do Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;106205;31/07/2026;860114;28/07/2026;0;78,71;NORTE COMERCIO DE PECAS E ACESSORIOS PA;3,45E+13;BOA VISTA;RR;Agregado;DENILSON TAVARES;31/07/2026;XD DDA;01/09/2026;19/08/2026;;;Não;;;;;;;;;;;;19/08/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORTE;RODOVIARIO;Entregue no Prazo;#N/D;3453885000;;> de 7 Dias;;;;;;22;VALINHOSRODOVIARIO LTLBOA VISTA;NORTEX;;;;;nce11@carvalima.com.br;1,06206E+11;0,96;NORTE COMERCIO;Pendente;> de 20 Dias;Pendente Agenda;=> 01/03; Ponta Grossa;19/08/2026;31/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;106205;31/07/2026;860096;28/07/2026;4;1573,18;NORTE COMERCIO DE PECAS E ACESSORIOS PA;3,45E+13;BOA VISTA;RR;Agregado;DENILSON TAVARES;31/07/2026;XD DDA;01/09/2026;19/08/2026;;;Não;;;;;;;;;;;;19/08/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORTE;RODOVIARIO;Entregue no Prazo;#N/D;3453885000;;> de 7 Dias;;;;;;22;VALINHOSRODOVIARIO LTLBOA VISTA;NORTEX;;;;;nce11@carvalima.com.br;1,06206E+11;0,96;NORTE COMERCIO;Pendente;> de 20 Dias;Pendente Agenda;=> 01/03; Ponta Grossa;19/08/2026;31/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;106205;31/07/2026;860119;28/07/2026;0;20,33;NORTE COMERCIO DE PECAS E ACESSORIOS PA;3,45E+13;BOA VISTA;RR;Agregado;DENILSON TAVARES;31/07/2026;XD DDA;01/09/2026;19/08/2026;;;Não;;;;;;;;;;;;19/08/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORTE;RODOVIARIO;Entregue no Prazo;#N/D;3453885000;;> de 7 Dias;;;;;;22;VALINHOSRODOVIARIO LTLBOA VISTA;NORTEX;;;;;nce11@carvalima.com.br;1,06206E+11;0,96;NORTE COMERCIO;Pendente;> de 20 Dias;Pendente Agenda;=> 01/03; Ponta Grossa;19/08/2026;31/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;106205;31/07/2026;860120;28/07/2026;0;302,28;NORTE COMERCIO DE PECAS E ACESSORIOS PA;3,45E+13;BOA VISTA;RR;Agregado;DENILSON TAVARES;31/07/2026;XD DDA;01/09/2026;19/08/2026;;;Não;;;;;;;;;;;;19/08/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORTE;RODOVIARIO;Entregue no Prazo;#N/D;3453885000;;> de 7 Dias;;;;;;22;VALINHOSRODOVIARIO LTLBOA VISTA;NORTEX;;;;;nce11@carvalima.com.br;1,06206E+11;0,96;NORTE COMERCIO;Pendente;> de 20 Dias;Pendente Agenda;=> 01/03; Ponta Grossa;19/08/2026;31/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;106205;31/07/2026;859560;27/07/2026;3;2406,95;NORTE COMERCIO DE PECAS E ACESSORIOS PA;3,45E+13;BOA VISTA;RR;Agregado;DENILSON TAVARES;31/07/2026;XD DDA;01/09/2026;19/08/2026;;;Não;;;;;;;;;;;;19/08/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORTE;RODOVIARIO;Entregue no Prazo;#N/D;3453885000;;> de 7 Dias;;;;;;22;VALINHOSRODOVIARIO LTLBOA VISTA;NORTEX;;;;;nce11@carvalima.com.br;1,06206E+11;0,96;NORTE COMERCIO;Pendente;> de 20 Dias;Pendente Agenda;=> 01/03; Ponta Grossa;19/08/2026;31/07/2026;Entregue no Prazo
